"X","Y","row","col"
-47.625,-22.7083339691162,88,1589
-43.0416679382324,-22.7916660308838,87,1644
-42.9583320617676,-22.7916660308838,87,1645
-43.4583320617676,-22.7916660308838,87,1639
-43.375,-22.7916660308838,87,1640
-43.2916679382324,-22.7916660308838,87,1641
-43.5416679382324,-22.7083339691162,88,1638
-43.4583320617676,-22.7083339691162,88,1639
-43.2916679382324,-22.7083339691162,88,1641
-45.2083320617676,-22.7916660308838,87,1618
-47.2916679382324,-22.7916660308838,87,1593
-47.2083320617676,-22.7916660308838,87,1594
-47.125,-22.7916660308838,87,1595
-47.375,-22.7083339691162,88,1592
-47.2916679382324,-22.7083339691162,88,1593
47.7916679382324,-22.7916660308838,87,2734
-43.2083320617676,-22.5416660308838,90,1642
-44.2083320617676,-22.5416660308838,90,1630
-44.125,-22.5416660308838,90,1631
-55.7083320617676,-22.5416660308838,90,1492
-47.375,-22.5416660308838,90,1592
-47.2083320617676,-22.625,89,1594
-43.2083320617676,-22.625,89,1642
17.0416660308838,-22.5416660308838,90,2365
17.125,-22.5416660308838,90,2366
27.125,-22.5416660308838,90,2486
-68.9583358764648,-22.2916660308838,93,1333
-68.9583358764648,-22.4583339691162,91,1333
-42.5416679382324,-22.2916660308838,93,1650
-48.5416679382324,-22.2916660308838,93,1578
-49.0416679382324,-22.2916660308838,93,1572
-46.9583320617676,-22.4583339691162,91,1597
-46.9583320617676,-22.375,92,1597
-47.375,-22.375,92,1592
-41.7916679382324,-22.375,92,1659
-47.5416679382324,-22.375,92,1590
-44.4583320617676,-22.4583339691162,91,1627
26.7083339691162,-22.375,92,2481
18.9583339691162,-22.4583339691162,91,2388
-43.2083320617676,-22.125,95,1642
-51.4583320617676,-22.125,95,1543
-51.375,-22.125,95,1544
-49.9583320617676,-22.2083339691162,94,1561
-45.9583320617676,-22.2083339691162,94,1609
-54.7916679382324,-22.2083339691162,94,1503
-68.7083358764648,-21.9583339691162,97,1336
-47.875,-22.0416660308838,96,1586
-46.7916679382324,-21.9583339691162,97,1599
-46.9583320617676,-22.0416660308838,96,1597
-43.375,-21.7916660308838,99,1640
-43.4583320617676,-21.7083339691162,100,1639
-41.2916679382324,-21.7916660308838,99,1665
-41.375,-21.7083339691162,100,1664
-41.2916679382324,-21.7083339691162,100,1665
-48.2083320617676,-21.7916660308838,99,1582
-48.125,-21.7916660308838,99,1583
-46.5416679382324,-21.7916660308838,99,1602
-64.7083358764648,-21.5416660308838,102,1384
-45.4583320617676,-21.5416660308838,102,1615
46.7916679382324,-21.625,101,2722
46.875,-21.625,101,2723
47.0416679382324,-21.375,104,2725
-47.7916679382324,-21.2083339691162,106,1587
-47.7916679382324,-21.125,107,1587
-48.9583320617676,-21.125,107,1573
-42.9583320617676,-21.125,107,1645
-50.4583320617676,-21.2083339691162,106,1555
-43.7916679382324,-21.2083339691162,106,1635
-41.875,-21.2083339691162,106,1658
25.375,-21.2916660308838,105,2465
48.2916679382324,-21.2916660308838,105,2740
-68.7916641235352,-20.9583339691162,109,1335
-48.4583320617676,-20.9583339691162,109,1579
55.2916679382324,-20.9583339691162,109,2824
149.20832824707,-21.125,107,3951
-51.7083320617676,-20.7916660308838,111,1540
-49.375,-20.7916660308838,111,1568
55.4583320617676,-20.875,110,2826
-47.4583320617676,-20.5416660308838,114,1591
-47.375,-20.5416660308838,114,1592
-48.5416679382324,-20.5416660308838,114,1578
-47.875,-20.7083339691162,112,1586
46.9583320617676,-20.7083339691162,112,2724
139.45832824707,-20.7083339691162,112,3834
139.54167175293,-20.7083339691162,112,3835
-65.375,-20.4583339691162,115,1376
-40.375,-20.375,116,1676
-54.625,-20.4583339691162,115,1505
-54.5416679382324,-20.4583339691162,115,1506
-45.4583320617676,-20.4583339691162,115,1615
57.625,-20.4583339691162,115,2852
57.7083320617676,-20.375,116,2853
47.2083320617676,-20.375,116,2727
-40.375,-20.2916660308838,117,1676
-40.2916679382324,-20.2083339691162,118,1677
-40.2083320617676,-20.2083339691162,118,1678
-70.125,-20.2083339691162,118,1319
28.5416660308838,-20.2083339691162,118,2503
28.625,-20.2083339691162,118,2504
57.4583320617676,-20.2083339691162,118,2850
-40.2083320617676,-20.0416660308838,120,1678
-40.2916679382324,-20.125,119,1677
-40.2083320617676,-20.125,119,1678
-44.875,-20.125,119,1622
